Name,RA,Dec,l,b,Peak mag,Peak time,Disc date,Type,PS prob,Redshift,MW E(B-V)
10AYSEaow,54.8165922982405,-2.1203232388578104,188.32890444021817,-42.70727800352503,18.532335281372102,2018-11-09 08:05:50.997000,2020-01-24 00:00:00,None,,,0.07200000000000001
10AYSEapm,136.326398167959,-6.94198628280753,236.26388683864286,25.599549202925385,19.2438926696777,2019-01-11 11:10:27.002000,2020-01-24 00:00:00,None,,,0.036000000000000004
10AYSEaut,113.427268367243,39.0569780567069,179.92597564128425,24.45999702658156,18.869026184082,2019-04-14 04:56:26.002000,2020-01-26 00:00:00,None,,,0.051
10AYSEake,135.514273840648,47.082282511107906,172.74710375245718,41.37112875287739,19.4300556182861,2018-12-16 12:14:01,2020-01-22 00:00:00,None,,,0.017
10AYSEakx,196.59790346537102,2.9762758397126206,311.9952785802751,65.58453742356365,19.2906475067139,2019-07-12 04:07:20.997000,2020-01-23 00:00:00,None,,,0.023
10AYSEaen,209.266705571595,34.6105482152063,64.97362228290964,74.08237837343094,19.408649444580103,2019-06-26 04:38:00.997000,2020-01-18 00:00:00,None,,,0.013000000000000001
10AYSEaqi,50.2202664013999,-4.71562928939167,187.46494190039928,-47.943223400385484,20.3024082183838,2019-07-30 11:39:57.001000,2020-01-24 00:00:00,None,,,0.028999999999999998
2020bhv,29.8519791666667,37.5127527777778,137.56498672643454,-23.420028914349782,18.84157371521,2019-08-29 09:54:02.998000,2020-01-16 02:38:13,None,0.002,,0.048
2020bbx,207.6507875,72.7140166666667,116.9073147303241,43.71545919046015,18.7566738128662,2019-08-10 04:33:10.996000,2020-01-26 07:51:44,None,0.027000000000000003,,0.0181
2020ayo,105.40607083333299,47.780158333333304,169.05557853731764,21.362130317122997,19.8162784576416,2019-10-28 11:13:28.001000,2020-01-26 06:00:18,None,,,0.0629
10AYSEaur,116.48411783470699,42.1945628226814,177.19017766127826,27.489205450935913,18.8492698669434,2019-11-06 12:40:19.001000,2020-01-26 00:00:00,None,,,0.05
2019aaad,140.638670898293,30.9335896319087,195.11559860838528,44.59329001644342,20.17,2019-11-25 15:05:45,2020-01-19 00:00:00,None,,,0.017
2019aaae,113.411788448385,41.760625209820006,177.05111146179593,25.167840894190842,19.84,2019-11-26 13:04:48,2020-01-19 00:00:00,None,,,0.044000000000000004
2019aaav,119.78184794839899,37.9564591455385,182.5217692763739,28.993929917954304,20.9,2019-11-26 13:10:33,2020-01-26 00:00:00,None,,,0.038
2019aaba,150.54988579577102,-11.609176001294301,250.6205418526158,33.56885760477324,20.13,2019-12-12 14:03:50,2020-01-24 00:00:00,None,,,0.059000000000000004
2019wyp,196.65457768723599,16.591372407653697,322.1558097833659,78.89237435000777,18.6,2019-12-11 13:14:52,2020-01-26 00:00:00,SN Ia,,0.081,0.022000000000000002
