SNID: 2018oh
RA: 136.66475
DECL: 19.33827

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     DQ     MAGERR OBJTYPE
OBS: 58155.197280 B 124468.95389 1325.36664 14.76235 0.01156 0 0x00000001 0x0000
OBS: 58155.200880 B 127588.56056 1370.46796 14.73547 0.01167 0 0x00000001 0x0000
OBS: 58155.201920 V 129132.12535 1225.39277 14.72241 0.01031 0 0x00000001 0x0000
OBS: 58155.205470 g 130510.58246 1144.64012 14.71089 0.00952 0 0x00000001 0x0000
OBS: 58155.206550 i 87162.44486 731.38202 15.14918 0.00911 0 0x00000001 0x0000
OBS: 58155.207570 r 116378.74962 898.65438 14.83532 0.00839 0 0x00000001 0x0000
OBS: 58156.217430 r 139917.38133 1069.33442 14.63532 0.00830 0 0x00000001 0x0000
OBS: 58156.218440 i 101397.15281 802.33577 14.98494 0.00859 0 0x00000001 0x0000
OBS: 58156.219430 g 154012.74095 1386.07845 14.53111 0.00977 0 0x00000001 0x0000
OBS: 58156.222210 V 146640.81915 1462.82885 14.58436 0.01083 0 0x00000001 0x0000
OBS: 58156.223210 B 144516.92043 1633.80596 14.60020 0.01228 0 0x00000001 0x0000
OBS: 58157.208970 r 150388.28193 1134.60116 14.55697 0.00819 0 0x00000001 0x0000
OBS: 58157.210090 i 107062.71200 812.89855 14.92590 0.00825 0 0x00000001 0x0000
OBS: 58157.212120 g 172505.28018 1552.18933 14.40799 0.00977 0 0x00000001 0x0000
OBS: 58157.216080 V 162767.95530 1481.85637 14.47108 0.00989 0 0x00000001 0x0000
OBS: 58157.217290 B 163150.09854 1723.86331 14.46853 0.01147 0 0x00000001 0x0000
OBS: 58161.217040 B 184218.77528 1880.84943 14.33667 0.01109 0 0x00000001 0x0000
OBS: 58161.218510 V 193953.45271 1703.71582 14.28076 0.00954 0 0x00000001 0x0000
OBS: 58161.223360 g 148298.98859 2447.48803 14.57215 0.01792 0 0x00000001 0x0000
OBS: 58161.224380 i 103004.72873 820.33459 14.96786 0.00865 0 0x00000001 0x0000
OBS: 58161.225490 r 174026.26316 1319.23257 14.39846 0.00823 0 0x00000001 0x0000
OBS: 58162.245720 r 74426.61677 4325.02382 15.32068 0.06311 1 0x00000003 0x0000
OBS: 58162.247580 i 41928.77863 2727.52517 15.94372 0.07065 1 0x00000003 0x0000
OBS: 58162.248940 g 91622.94345 6189.80057 15.09499 0.07337 1 0x00000003 0x0000
OBS: 58162.253480 V 198583.97107 1789.35195 14.25514 0.00979 0 0x00000001 0x0000
OBS: 58162.254690 B 192850.85457 1959.37917 14.28695 0.01103 0 0x00000001 0x0000
OBS: 58163.263990 B 182751.44754 1923.99591 14.34535 0.01143 0 0x00000001 0x0000
OBS: 58163.265160 V 198146.65620 1760.99370 14.25753 0.00965 0 0x00000001 0x0000
OBS: 58163.268910 g 206109.65401 2208.15265 14.21475 0.01163 0 0x00000001 0x0000
OBS: 58163.269940 i 94729.69432 830.65488 15.05878 0.00952 0 0x00000001 0x0000
OBS: 58163.270960 r 175374.70026 1267.93459 14.39008 0.00785 0 0x00000001 0x0000
OBS: 58164.211170 B 181341.35645 1801.11641 14.35376 0.01079 0 0x00000001 0x0000
OBS: 58164.212290 V 194975.56960 1656.91015 14.27505 0.00923 0 0x00000001 0x0000
OBS: 58164.215420 g 198498.86814 1523.51373 14.25560 0.00834 0 0x00000001 0x0000
OBS: 58164.216440 i 28795.22607 2779.83125 16.35170 0.10484 1 0x00000003 0x0000
OBS: 58164.217420 r 176482.85304 1234.84505 14.38324 0.00760 0 0x00000001 0x0000
OBS: 58165.188700 r 175013.34216 1245.11991 14.39232 0.00773 0 0x00000001 0x0000
OBS: 58165.189700 i 88263.98719 692.36505 15.13554 0.00852 0 0x00000001 0x0000
OBS: 58165.190900 r 177506.06768 1262.72621 14.37697 0.00773 0 0x00000001 0x0000
OBS: 58165.192090 g 197844.98236 1557.37137 14.25919 0.00855 0 0x00000001 0x0000
OBS: 58165.194810 V 192256.28524 1591.28428 14.29030 0.00899 0 0x00000001 0x0000
OBS: 58165.195880 B 176606.52010 1759.89275 14.38248 0.01082 0 0x00000001 0x0000
OBS: 58166.192110 r 179174.18207 1377.95495 14.36681 0.00835 0 0x00000001 0x0000
OBS: 58166.193780 i 87172.41760 769.53419 15.14905 0.00959 0 0x00000001 0x0000
OBS: 58166.194980 g 195446.28446 1536.17470 14.27243 0.00854 0 0x00000001 0x0000
OBS: 58166.198560 V 194248.60967 1693.80054 14.27911 0.00947 0 0x00000001 0x0000
OBS: 58166.199690 B 177011.23940 1818.62156 14.38000 0.01116 0 0x00000001 0x0000
